,date,news,score,category
0,01月16,盈趣科技：利润率过于优秀,0.8962160765556467,1
4,01月14,2021年1月15日涨停板早知道：七大利好有望发酵,0.6434512293322677,1
5,01月13,2021年1月14日涨停板早知道：七大利好有望发酵,0.6623488804723078,1
6,01月12,2021年1月13日涨停板早知道：七大利好有望发酵,0.6732559175210753,1
7,01月11,2021年1月12日涨停板早知道：七大利好有望发酵,0.5947567701201621,1
8,01月10,2021年1月11日涨停板早知道：七大利好有望发酵,0.5307075484499711,1
9,01月07,2021年1月8日涨停板早知道：七大利好有望发酵,0.71283197339554,1
10,01月06,2021年1月7日涨停板早知道：七大利好有望发酵,0.7112208120332122,1
11,01月05,2021年1月6日涨停板早知道：七大利好有望发酵,0.6563298298057739,1
12,01月04,央行等6部委发布跨境人民币优化政策 产业迎来增量红利(附股),0.35292727711109395,0
18,01月03,2021年1月4日涨停板早知道：七大利好有望发酵,0.6757668814679989,1
19,12月31,德冠新材IPO过会 禁塑令下毛利率落后同行、偿债压力在身,0.04068992254829873,0
26,12月30,2020年12月31日涨停板早知道：七大利好有望发酵,0.7893519655358018,1
32,12月29,2020年12月30日涨停板早知道：七大利好有望发酵,0.6723717887545765,1
33,12月28,2020年12月29日涨停板早知道：七大利好有望发酵,0.6084820313505823,1
35,12月27,2020年12月28日涨停板早知道：七大利好有望发酵,0.6653441955916666,1
36,12月25,我国空间站核心舱明年春季发射 航天相关个股投资价值显现(附股),0.9998251807326544,1
37,12月24,2020年12月25日涨停板早知道：七大利好有望发酵,0.6928000648957024,1
38,12月23,2020年12月24日涨停板早知道：七大利好有望发酵,0.691399315616676,1
40,12月22,2020年12月23日涨停板早知道：七大利好有望发酵,0.6833997503159674,1
42,12月21,3大概念爆巨大利好：国新办重磅发布白皮书 或引领市场关注这些股,0.4183534605779884,0
44,12月20,2020年12月21日涨停板早知道：七大利好有望发酵,0.56935834569192,1
45,12月17,2020年12月18日涨停板早知道：七大利好有望发酵,0.7824949945802057,1
46,12月16,2020年12月17日涨停板早知道：七大利好有望发酵,0.6872853703132064,1
47,12月15,2020年12月16日涨停板早知道：七大利好有望发酵,0.5437470801475573,1
48,12月14,2020年12月15日涨停板早知道：七大利好有望发酵,0.6460624393551746,1
49,12月13,2020年12月14日涨停板早知道：七大利好有望发酵,0.6648937693584114,1
50,12月12,白酒、铁矿石、金融行情已轮番启动 三位一体补涨个股竟然是它,0.6636693211039697,1
53,12月11,AI大潮将来袭：人工智能多领域应用 哪些产业链值得关注？(股),0.9822340721734701,1
55,12月10,三部门深入推进互联网医疗 相关概念股有望受益,0.9453744006207978,1
62,12月09,新冠疫苗接连传利好 概念股机会又来了（附股）,0.7617709090386195,1
67,12月08,2022年苹果或配备潜望式长焦镜头 关注行业龙头机会,0.9767996310490134,1
76,12月07,汽车行业遇“缺芯”：国产芯片的机会来了(附股),0.6531604476666831,1
83,12月06,2020年12月7日涨停板早知道：七大利好有望发酵,0.7135566500182896,1
84,12月04,“十四五”规划推出在即：国产替代迎加速 智能机器人站上风口,0.2924920471019137,0
87,12月03,2020年12月4日涨停板早知道：七大利好有望发酵,0.6782597638920624,1
88,12月02,2020年12月3日涨停板早知道：七大利好有望发酵,0.659060099133319,1
89,12月01,2020年12月2日涨停板早知道：七大利好有望发酵,0.5987475523670053,1
93,11月30,2020年12月1日涨停板早知道：七大利好有望发酵,0.5947567701201621,1
96,11月29,2020年11月30日涨停板早知道：七大利好有望发酵,0.6125993913440019,1
97,11月28,本周114家公司遭股东减持 这5家公司被减持最多（附表格）,0.5063602437513983,1
98,11月26,2020年11月27日涨停板早知道：七大利好有望发酵,0.5828311700714786,1
100,11月25,2020年11月26日涨停板早知道：七大利好有望发酵,0.5709226141257464,1
102,11月24,成功挤掉苹果：小米手机全球销量挺进前三 背后有这些供应商,0.8687767799818036,1
105,11月23,2020年11月24日涨停板早知道：七大利好有望发酵,0.6332045730714689,1
107,11月22,小电车蕴含大市场 机构称未来三年单车产量复合增长率将超30%(股),0.9873690252325346,1
110,11月20,拉尼娜来袭 一文看清相关行业投资机会（附股）,0.9740097037573644,1
112,11月19,2020年11月20日涨停板早知道：七大利好有望发酵,0.5817280845062422,1
117,11月18,2020年11月19日涨停板早知道：七大利好有望发酵,0.5436571727435006,1
120,11月17,2020年11月18日涨停板早知道：七大利好有望发酵,0.7348918635836464,1
124,11月16,2020年11月17日涨停板早知道：七大利好有望发酵,0.6287314215804835,1
129,11月15,2020年11月16日涨停板早知道：七大利好有望发酵,0.47870209635847927,0
130,11月13,政策暖风频吹：多地抓紧布局 关注燃料电池产业链,0.8897394585169955,1
133,11月12,2020年11月13日涨停板早知道：七大利好有望发酵,0.6162517001622296,1
134,11月11,顺周期概念股全面爆发 还有哪些板块可挖掘？,0.8798534315040375,1
137,11月10,2020年11月11日涨停板早知道：七大利好有望发酵,0.4684682287115385,0
138,11月09,辉瑞新冠疫苗有效性超90% 这些疫苗概念股可关注(附股),0.4233982318047088,0
141,11月08,2020年11月9日涨停板早知道：七大利好有望发酵,0.525235993485318,1
142,11月06,航运行业持续高景气 机构：集装箱紧缺状态至少持续半年,0.7000147596774933,1
160,11月05,2020年11月6日涨停板早知道：七大利好有望发酵,0.5981352714052229,1
181,11月04,2020年11月5日涨停板早知道：七大利好有望发酵,0.6640963203098345,1
199,11月03,2020年11月4日涨停板早知道：七大利好有望发酵,0.6189527950139435,1
209,11月02,2020年11月3日涨停板早知道：七大利好有望发酵,0.5983100095517405,1
226,11月01,2020年11月2日涨停板早知道：七大利好有望发酵,0.5348357654962643,1
227,10月30,华为发布亚米级车道导航：高精度定位商用落地再进一步(名单),0.855424878993097,1
229,10月29,2020年10月30日涨停板早知道：七大利好有望发酵,0.6944633982356562,1
231,10月28,2020年10月29日涨停板早知道：七大利好有望发酵,0.632527187492501,1
232,10月27,2020年10月28日涨停板早知道：七大利好有望发酵,0.6876895630495098,1
233,10月26,2020年10月27日涨停板早知道：七大利好有望发酵,0.6675721315997285,1
235,10月25,2020年10月26日涨停板早知道：七大利好有望发酵,0.656657567822721,1
236,10月23,9月份皮卡市场销售同比增长39% 有望继续保持增长态势(附股),0.8618745947370903,1
244,10月22,2020年10月23日涨停板早知道：七大利好有望发酵,0.7050739272307509,1
249,10月21,2020年10月22日涨停板早知道：七大利好有望发酵,0.7651961863988281,1
256,10月20,2020年10月21日涨停板早知道：七大利好有望发酵,0.5942038730339563,1
273,10月19,2020年10月20日涨停板早知道：七大利好有望发酵,0.6665649281532886,1
287,10月18,2020年10月19日涨停板早知道：七大利好有望发酵,0.6313220255168418,1
288,10月15,2020年10月16日涨停板早知道：七大利好有望发酵,0.5689515548806248,1
289,10月14,2020年10月15日涨停板早知道：七大利好有望发酵,0.6690548815204431,1
290,10月13,2020年10月14日涨停板早知道：七大利好有望发酵,0.6872550753311424,1
291,10月12,2020年10月13日涨停板早知道：七大利好有望发酵,0.6977247408842235,1
292,10月11,2020年10月12日涨停板早知道：七大利好有望发酵,0.6218018982585473,1
293,10月08,2020年10月9日涨停板早知道：七大利好有望发酵,0.6139265880410415,1
294,09月29,2020年9月30日涨停板早知道：七大利好有望发酵,0.6649821507843103,1
303,09月28,2020年9月29日涨停板早知道：七大利好有望发酵,0.6005075571181548,1
305,09月27,2020年9月28日涨停板早知道：七大利好有望发酵,0.6578767038162369,1
306,09月24,2020年9月25日涨停板早知道：七大利好有望发酵,0.6856557738226671,1
309,09月23,2020年9月24日涨停板早知道：七大利好有望发酵,0.6842372959251019,1
310,09月22,2020年9月23日涨停板早知道：七大利好有望发酵,0.6761390393548605,1
311,09月21,2020年9月22日涨停板早知道：七大利好有望发酵,0.7399845844024909,1
312,09月20,2020年9月21日涨停板早知道：七大利好有望发酵,0.5611617041323294,1
313,09月18,产业人士预警：模拟芯片产能告急 本土公司机遇显现,0.9787961390103039,1
315,09月17,2020年9月18日涨停板早知道：七大利好有望发酵,0.776764520932578,1
321,09月16,2020年9月17日涨停板早知道：七大利好有望发酵,0.6800720534358189,1
328,09月15,2020年9月16日涨停板早知道：七大利好有望发酵,0.5354606945852731,1
332,09月14,2020年9月15日涨停板早知道：七大利好有望发酵,0.6383985290341415,1
337,09月13,中德欧领导人明天会晤 致力于年内如期完成中欧投资协定,0.9938414109265314,1
339,09月10,2020年9月11日涨停板早知道：七大利好有望发酵,0.5252359934853251,1
340,09月09,2020年9月10日涨停板早知道：七大利好有望发酵,0.6139265880410415,1
341,09月08,2020年9月9日涨停板早知道：七大利好有望发酵,0.5813589061385271,1
344,09月07,2020年9月8日涨停板早知道：七大利好有望发酵,0.7083167802587788,1
347,09月06,2020年9月7日涨停板早知道：七大利好有望发酵,0.7066907099291204,1
348,09月04,核电蓝海市场再启航审批或将常态化 机构：产业链个股有望受益,0.9661547590467492,1
349,09月03,2020年9月4日涨停板早知道：七大利好有望发酵,0.6709379344720916,1
350,09月02,2020年9月3日涨停板早知道：七大利好有望发酵,0.6515258261892262,1
351,09月01,2020年9月2日涨停板早知道：七大利好有望发酵,0.5907081723670348,1
358,08月31,2020年9月1日涨停板早知道：七大利好有望发酵,0.5866926259956649,1
366,08月30,2020年8月31日涨停板早知道：七大利好有望发酵,0.8637199712153465,1
367,08月27,2020年8月28日涨停板早知道：七大利好有望发酵,0.7707790004112772,1
371,08月26,2020年8月27日涨停板早知道：七大利好有望发酵,0.7540999565161268,1
374,08月25,重磅！蚂蚁集团沪港同步递交招股文件 影响股一览,0.0035246430865150113,0
378,08月24,广州开展智能网联汽车道路测试 产业链相关公司有望受益,0.9629848458594187,1
385,08月23,2020年8月24日涨停板早知道：七大利好有望发酵,0.7912014217463059,1
386,08月21,中信证券：维持歌尔股份股票“买入”评级,0.9821097258545463,1
387,08月20,2020年8月21日涨停板早知道：七大利好有望发酵,0.6909889620688493,1
393,08月19,2020年8月20日涨停板早知道：七大利好有望发酵,0.7532580193356289,1
398,08月18,2020年8月19日涨停板早知道：七大利好有望发酵,0.7233755605690101,1
407,08月17,2020年8月18日涨停板早知道：七大利好有望发酵,0.8588509312625663,1
416,08月16,2020年8月17日涨停板早知道：七大利好有望发酵,0.7880100029652306,1
418,08月14,华为鸿蒙车载系统揭开面纱 未来操作系统将成汽车发展灵魂,0.9998614265685618,1
421,08月13,2020年8月14日涨停板早知道：七大利好有望发酵,0.7704215170302272,1
423,08月12,复工不到一个月：电影院线再迎利好 龙头股迎估值修复机会,0.30805088009016435,0
425,08月11,2020年8月12日涨停板早知道：七大利好有望发酵,0.7151599985383159,1
428,08月10,8月11日涨停板早知道：七大利好有望发酵,0.6620131916319117,1
431,08月09,头部影片定档助推电影市场复苏 两主线掘金相关板块机会,0.9329138873634547,1
433,08月07,政策加码智慧交通：产业发展进程望提速 关注受益股,0.9918865312417172,1
435,08月06,市场规模今年有望超10亿元 云游戏将进入快速成长期(股),0.822922841471212,1
439,08月05,8月6日涨停板早知道：七大利好有望发酵,0.7678614111181179,1
440,08月04,8月5日涨停板早知道：七大利好有望发酵,0.8145991710024765,1
441,08月03,8月4日涨停板早知道：七大利好有望发酵,0.7830753812044529,1
443,08月02,8月3日涨停板早知道：七大利好有望发酵,0.7679909753196301,1
444,07月31,军工板块再迎风口 机构建议关注五条主线（附股）,0.4354266258950883,0
448,07月30,7月31日涨停板早知道：七大利好有望发酵,0.8642514213093502,1
449,07月29,7月30日涨停板早知道：七大利好有望发酵,0.7771210899797328,1
456,07月28,7月29日涨停板早知道：七大利好有望发酵,0.7253131062396623,1
459,07月27,7月28日涨停板早知道：七大利好有望发酵,0.7715770389530527,1
461,07月26,7月27日涨停板早知道：七大利好有望发酵,0.754937601190207,1
462,07月25,德林海：高速成长、站上风口的湖库蓝藻治理行业龙头企业,0.9744386110263186,1
463,07月24,直播和短视频仍处黄金发展赛道 关注相关上市公司（附股）,0.8759569497144025,1
464,07月23,7月24日涨停板早知道：七大利好有望发酵,0.791947551100794,1
465,07月22,7月23日涨停板早知道：七大利好有望发酵,0.7857467172520789,1
466,07月21,7月22日涨停板早知道：七大利好有望发酵,0.8333113454393026,1
467,07月20,7月21日涨停板早知道：七大利好有望发酵,0.6919537708384065,1
468,07月19,7月20日涨停板早知道：七大利好有望发酵,0.7540975967992587,1
469,07月16,7月17日涨停板早知道：七大利好有望发酵,0.7887644919254727,1
471,07月15,OPPO发布125W超级快充 GaN相关概念股有望受关注(股),0.9061390567012074,1
473,07月14,7月15日涨停板早知道：七大利好有望发酵,0.7561729983160884,1
475,07月13,1.29万亿投资、150项工程 水利建设加速下关注优质标的,0.924055654875529,1
479,07月12,7月13日涨停板早知道：七大利好有望发酵,0.779779917000713,1
480,07月09,7月10日涨停板早知道：七大利好有望发酵,0.7363802671280832,1
481,07月08,7月9日涨停板早知道：七大利好有望发酵,0.7092502518666132,1
482,07月07,7月8日涨停板早知道：七大利好有望发酵,0.8100929493125134,1
483,07月06,7月7日涨停板早知道：七大利好有望发酵,0.8088811678304324,1
486,07月05,7月6日涨停板早知道：七大利好有望发酵,0.7664578410126557,1
487,07月02,7月3日涨停板早知道：七大利好有望发酵,0.7665879504639647,1
488,07月01,7月2日涨停板早知道：七大利好有望发酵,0.7171330751643982,1
489,06月30,首批11家券商7月金股出炉 7月爆发力在消费？(名单),0.0013199564575628875,0
491,06月29,6月30日涨停板早知道：七大利好有望发酵,0.7300010726349581,1
492,06月28,数据安全立法再进一步：草案初次提请审议 这些龙头或受益,0.9162473538460362,1
495,06月24,方正证券：与粉丝建立强烈情感联系 潮玩龙头发展空间有多大？,0.9947734231410627,1
496,06月23,6月24日涨停板早知道：七大利好有望发酵,0.7469413552673392,1
498,06月22,6月23日涨停板早知道：七大利好有望发酵,0.7398397986315755,1
501,06月21,6月22日涨停板早知道：七大利好有望发酵,0.7949360946869647,1
502,06月18,6月19日涨停板早知道：七大利好有望发酵,0.6707216207903719,1
506,06月17,6月18日涨停板早知道：七大利好有望发酵,0.8257731190011643,1
508,06月16,6月17日涨停板早知道：七大利好有望发酵,0.7432929278778667,1
509,06月15,6月16日涨停板早知道：七大利好有望发酵,0.6109085677003994,1
510,06月14,6月初新冠检测数据暴增85% 核心标的或再腾飞(附股),0.869309170594697,1
512,06月11,6月12日涨停板早知道：七大利好有望发酵,0.6616736626834709,1
514,06月10,6月11日涨停板早知道：七大利好有望发酵,0.6011074089464788,1
517,06月09,6月10日涨停板早知道：七大利好有望发酵,0.6841477688306127,1
518,06月08,6月9日涨停板早知道：七大利好有望发酵,0.654166839001177,1
520,06月07,6月8日涨停板早知道：七大利好有望发酵,0.7678614111181179,1
521,06月06,未预披露减持计划 百邦科技控股股东违规套现86万元,0.5955810085804708,1
522,06月04,6月5日涨停板早知道：七大利好有望发酵,0.7717076754974435,1
524,06月03,6月4日涨停板早知道：七大利好有望发酵,0.7352611518128866,1
528,06月02,6月3日涨停板早知道：七大利好有望发酵,0.7180490062353954,1
530,06月01,6月2日涨停板早知道：七大利好有望发酵,0.6628331353562207,1
536,05月31,6月1日涨停板早知道：七大利好有望发酵,0.6591168568897725,1
537,05月29,体外诊断板块多股涨停 主力最高杀入超20亿元(股),0.15261185142573797,0
541,05月28,5月29日涨停板早知道：七大利好有望发酵,0.7311634299956409,1
545,05月27,5月28日涨停板早知道：七大利好有望发酵,0.7767453173738567,1
546,05月26,5月27日涨停板早知道：七大利好有望发酵,0.760365435069045,1
547,05月25,5月26日涨停板早知道：七大利好有望发酵,0.7513628100642948,1
549,05月24,5月25日涨停板早知道：七大利好有望发酵,0.7978386182628635,1
550,05月21,5月22日涨停板早知道：七大利好有望发酵,0.8373772266637509,1
552,05月20,5月21日涨停板早知道：七大利好有望发酵,0.6982189723372342,1
555,05月19,5月20日涨停板早知道：七大利好有望发酵,0.7595381096851213,1
560,05月18,5月19日涨停板早知道：七大利好有望发酵,0.7301437451122825,1
563,05月17,大基金二期拟增资中芯南方 芯片国产化进程提速(股),0.8597509597911763,1
565,05月15,零食股大PK：三只松鼠、良品铺子、百草味谁领风骚？,0.8506855402556007,1
566,05月14,5月15日涨停板早知道：七大利好有望发酵,0.7615821110546598,1
568,05月13,5月14日涨停板早知道：七大利好有望发酵,0.7763944394504327,1
571,05月12,5月13日涨停板早知道：七大利好有望发酵,0.7848143592479374,1
576,05月11,5月12日涨停板早知道：七大利好有望发酵,0.7220519578539466,1
581,05月10,5月11日涨停板早知道：七大利好有望发酵,0.6668523339918759,1
582,05月09,Q1主动偏股型基金仓位下调 医药与计算机行业增配明显(附股),0.9950836498360026,1
583,05月08,风险预期修复夯实估值底线 银行股估值上行可期,0.18140516192566292,0
588,05月07,12亿连接数、NB-IoT+Cat1覆盖扩大 这份文件信息量爆棚(股),0.20913927283305944,0
591,05月06,5月7日涨停板早知道：七大利好有望发酵,0.8134095204217237,1
598,05月05,5月6日涨停板早知道：七大利好有望发酵,0.7717076754974435,1
599,04月30,一季度险资大笔加仓：累计举牌9次 青睐银行、材料,0.3387968016582166,0
609,04月29,政治局会议强调加快湖北基建 本地股受益（附股）,0.5017184691965237,1
615,04月28,4月29日涨停板早知道：七大利好有望发酵,0.6908372334291651,1
619,04月27,4月28日涨停板早知道：七大利好有望发酵,0.7408329490180625,1
625,04月26,4月27日涨停板早知道：七大利好有望发酵,0.7227586720900833,1
627,04月25,"科创板""硬实力""浮出水面 9家公司连续两年研发投入占比超20%",0.9171191105641625,1
643,04月24,全球射频巨头在墨工厂停产 国产化的机会来了？(附股),0.9888500270624019,1
645,04月23,4月24日涨停板早知道：七大利好有望发酵,0.7631033965489855,1
651,04月22,4月23日涨停板早知道：七大利好有望发酵,0.7563074198312241,1
655,04月21,4月22日涨停板早知道：七大利好有望发酵,0.8088174341622598,1
662,04月20,4月21日涨停板早知道：七大利好有望发酵,0.6552808925874014,1
667,04月19,水泥涨价模式开启 相关概念股有望受益（股）,0.3393390480102584,0
669,04月17,医疗设备采购潮逻辑持续兑现 关注医疗基建带来的板块性机会,0.7777711161749251,1
670,04月16,4月17日涨停板早知道：七大利好有望发酵,0.7596129921524299,1
676,04月15,4月16日涨停板早知道：七大利好有望发酵,0.6314720884799429,1
685,04月14,4月15日涨停板早知道：七大利好有望发酵,0.7240970028541324,1
692,04月13,两天涨一倍：口罩需求引爆聚丙烯 相关公司股价大涨(股),0.6879893011137568,1
703,04月12,4月13日涨停板早知道：七大利好有望发酵,0.7497818387296622,1
704,04月10,资金本周回流白酒股遭爆买 这些板块获大幅加仓(附股),0.017723035839694257,0
715,04月09,4月10日涨停板早知道：七大利好有望发酵,0.7027241219461349,1
724,04月08,4月9日涨停板早知道：七大利好有望发酵,0.67366539825765,1
731,04月07,特斯拉概念股尾盘突然启动 券商推荐这几只标的(股),0.13340829047679292,0
751,04月06,4月7日涨停板早知道：七大利好有望发酵,0.7817376515001273,1
753,04月03,兴业证券：新能源乘用车销量整体微增 关注特斯拉产业链(股),0.0962380831089904,0
758,04月02,"国信证券：持续看好华为产业链 维持行业""超配""评级",0.5902331056621608,1
763,04月01,主力资金净流出120亿：机构抢筹12股 这9股是买入评级,0.1089561390294006,0
771,03月31,川财证券：高护城河、宽竞赛道 模拟芯片市场广阔(股),0.99961524065409,1
783,03月30,平安证券：废电拆解空间广阔 行业洗牌持续推进(2股),0.6544363338581876,1
796,03月29,3月30日涨停板早知道：七大利好有望发酵,0.7301443416677162,1
799,03月27,安信证券：中国5G新基建引领全球 无线资本开支倍增(股),0.8385860638301456,1
808,03月26,3月27日涨停板早知道：七大利好有望发酵,0.7050597370561142,1
820,03月25,3月26日涨停板早知道：七大利好有望发酵,0.694813315950943,1
828,03月24,3月25日涨停板早知道：七大利好有望发酵,0.7483187664708737,1
829,03月23,3月24日涨停板早知道：七大利好有望发酵,0.7470787496975011,1
837,03月22,3月23日涨停板早知道：七大利好有望发酵,0.739979706530889,1
838,03月21,电子板块安全边际凸显 机构推荐三大主线22只个股,0.19251151518107512,0
842,03月20,国信证券：汽车汽配进入高性价比配置阶段 精选4主线,0.9997103324537756,1
854,03月19,兴业证券：特斯拉进入全球放量大周期 相关标的受益,0.35373718502574236,0
863,03月18,政策力促文旅业重振：叠加复工复产 三主线掘金板块,0.9070784846825265,1
878,03月17,3月18日涨停板早知道：七大利好有望发酵,0.8258776902904581,1
891,03月16,视频|多地推出鼓励购车政策 这些相关概念股值得关注,0.9973482398573468,1
